# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	Enable	X/Longitude	Y/Latitude	Z/Altitude	Yaw	Pitch	Roll	Accuracy_X_(m)	Accuracy_Y_(m)	Accuracy_Z_(m)	Accuracy_Yaw/Pitch/Roll_(deg)	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Yaw_error	Pitch_error	Roll_error	X_est	Y_est	Z_est	Yaw_est	Pitch_est	Roll_est	X_var	Y_var	Z_var	Yaw_var	Pitch_var	Roll_var
DJI_20260722122425_0008_D.JPG	1	-5.556847	42.614852	934.541000	329.800000	-0.000000	0.000000	0.010170	0.011260	0.024220	10.000000																				
DJI_20260722122425_0008_MS_G.TIF	1	-5.556848	42.614853	934.532000	329.800000	0.100000	-0.000000	0.010290	0.011450	0.024320	10.000000																				
DJI_20260722122425_0008_MS_NIR.TIF	1	-5.556848	42.614853	934.532000	329.800000	0.100000	-0.000000	0.010290	0.011450	0.024320	10.000000																				
DJI_20260722122425_0008_MS_R.TIF	1	-5.556848	42.614853	934.532000	329.800000	0.100000	-0.000000	0.010290	0.011450	0.024320	10.000000																				
DJI_20260722122425_0008_MS_RE.TIF	1	-5.556848	42.614853	934.532000	329.800000	0.100000	-0.000000	0.010290	0.011450	0.024320	10.000000																				
DJI_20260722122429_0009_D.JPG	1	-5.556930	42.614958	934.648000	329.900000	0.100000	-0.000000	0.010140	0.011260	0.024100	10.000000																				
DJI_20260722122429_0009_MS_G.TIF	1	-5.556931	42.614958	934.639000	329.900000	0.100000	-0.000000	0.010130	0.011250	0.024090	10.000000																				
DJI_20260722122429_0009_MS_NIR.TIF	1	-5.556930	42.614959	934.639000	329.900000	0.100000	-0.000000	0.010130	0.011250	0.024090	10.000000																				
DJI_20260722122429_0009_MS_R.TIF	1	-5.556931	42.614959	934.639000	329.900000	0.100000	-0.000000	0.010130	0.011250	0.024090	10.000000																				
DJI_20260722122429_0009_MS_RE.TIF	1	-5.556930	42.614959	934.639000	329.900000	0.100000	-0.000000	0.010130	0.011250	0.024090	10.000000																				
